timestamp,operation,model,entity_id,table_name,source,payload_json
2026-04-29T13:42:31.462984,READ,Vendor,,,sqlalchemy_session_event,"{""statement"": ""SELECT vendors.id AS vendors_id, vendors.name AS vendors_name, vendors.slug AS vendors_slug, vendors.email AS vendors_email, vendors.password_hash AS vendors_password_hash, vendors.is_active AS vendors_is_active, vendors.rfc AS vendors_rfc, vendors.sector AS vendors_sector, vendors.phone AS vendors_phone, vendors.website AS vendors_website, vendors.address AS vendors_address, vendors.city AS vendors_city, vendors.state AS vendors_state, vendors.country AS vendors_country, vendors.postal_code AS vendors_postal_code, vendors.description AS vendors_description, vendors.payment_methods AS vendors_payment_methods, vendors.created_at AS vendors_created_at, vendors.updated_at AS vendors_updated_at \nFROM vendors \nWHERE vendors.email = :email_1\n LIMIT :param_1""}"
2026-04-29T13:42:31.908229,READ,Vendor,,,sqlalchemy_session_event,"{""statement"": ""SELECT vendors.id AS vendors_id, vendors.name AS vendors_name, vendors.slug AS vendors_slug, vendors.email AS vendors_email, vendors.password_hash AS vendors_password_hash, vendors.is_active AS vendors_is_active, vendors.rfc AS vendors_rfc, vendors.sector AS vendors_sector, vendors.phone AS vendors_phone, vendors.website AS vendors_website, vendors.address AS vendors_address, vendors.city AS vendors_city, vendors.state AS vendors_state, vendors.country AS vendors_country, vendors.postal_code AS vendors_postal_code, vendors.description AS vendors_description, vendors.payment_methods AS vendors_payment_methods, vendors.created_at AS vendors_created_at, vendors.updated_at AS vendors_updated_at \nFROM vendors \nWHERE vendors.slug = :slug_1\n LIMIT :param_1""}"
2026-04-29T13:42:32.418510,CREATE,Vendor,8,vendors,sqlalchemy_mapper_event,"{""new_values"": {""id"": 8, ""name"": ""viva"", ""slug"": ""viva"", ""email"": ""viva@example.com"", ""password_hash"": ""$2b$12$S9hx.3ZSmZAxLL/2XPJHUej5z7nFSMhQ6VZvO455ZyEQ.mMMxZmam"", ""is_active"": true, ""rfc"": ""ASJJNSAAS"", ""sector"": ""Tecnologia"", ""phone"": ""3166844596"", ""website"": ""www.sitio.com"", ""address"": ""calle 78"", ""city"": ""bogota"", ""state"": ""viva"", ""country"": ""Colombia"", ""postal_code"": ""101562"", ""description"": ""stri"", ""payment_methods"": ""string"", ""created_at"": ""2026-04-29T13:42:32.262969"", ""updated_at"": ""2026-04-29T13:42:32.262969""}}"
2026-04-29T15:00:00.839432,READ,Vendor,,,sqlalchemy_session_event,"{""statement"": ""SELECT vendors.id AS vendors_id, vendors.name AS vendors_name, vendors.slug AS vendors_slug, vendors.email AS vendors_email, vendors.password_hash AS vendors_password_hash, vendors.is_active AS vendors_is_active, vendors.rfc AS vendors_rfc, vendors.sector AS vendors_sector, vendors.phone AS vendors_phone, vendors.website AS vendors_website, vendors.address AS vendors_address, vendors.city AS vendors_city, vendors.state AS vendors_state, vendors.country AS vendors_country, vendors.postal_code AS vendors_postal_code, vendors.description AS vendors_description, vendors.payment_methods AS vendors_payment_methods, vendors.created_at AS vendors_created_at, vendors.updated_at AS vendors_updated_at \nFROM vendors \nWHERE vendors.email = :email_1\n LIMIT :param_1""}"
2026-04-29T15:00:01.595017,READ,Vendor,,,sqlalchemy_session_event,"{""statement"": ""SELECT vendors.id AS vendors_id, vendors.name AS vendors_name, vendors.slug AS vendors_slug, vendors.email AS vendors_email, vendors.password_hash AS vendors_password_hash, vendors.is_active AS vendors_is_active, vendors.rfc AS vendors_rfc, vendors.sector AS vendors_sector, vendors.phone AS vendors_phone, vendors.website AS vendors_website, vendors.address AS vendors_address, vendors.city AS vendors_city, vendors.state AS vendors_state, vendors.country AS vendors_country, vendors.postal_code AS vendors_postal_code, vendors.description AS vendors_description, vendors.payment_methods AS vendors_payment_methods, vendors.created_at AS vendors_created_at, vendors.updated_at AS vendors_updated_at \nFROM vendors \nWHERE vendors.id = :id_1\n LIMIT :param_1""}"
2026-04-29T15:00:02.817310,READ,VendorSettings,,,sqlalchemy_session_event,"{""statement"": ""SELECT vendor_settings.id AS vendor_settings_id, vendor_settings.vendor_id AS vendor_settings_vendor_id, vendor_settings.business_start_hour AS vendor_settings_business_start_hour, vendor_settings.business_end_hour AS vendor_settings_business_end_hour, vendor_settings.off_hours_message AS vendor_settings_off_hours_message, vendor_settings.agent_enabled AS vendor_settings_agent_enabled, vendor_settings.tone AS vendor_settings_tone, vendor_settings.created_at AS vendor_settings_created_at, vendor_settings.updated_at AS vendor_settings_updated_at \nFROM vendor_settings \nWHERE vendor_settings.vendor_id = :vendor_id_1\n LIMIT :param_1""}"
2026-04-29T15:00:02.995839,READ,Unknown,,,sqlalchemy_session_event,"{""statement"": ""SELECT count(*) AS count_1 \nFROM (SELECT products.id AS products_id, products.vendor_id AS products_vendor_id, products.product_id AS products_product_id, products.name AS products_name, products.category AS products_category, products.price AS products_price, products.currency AS products_currency, products.stock_status AS products_stock_status, products.min_shipping_days AS products_min_shipping_days, products.max_shipping_days AS products_max_shipping_days, products.short_description AS products_short_description, products.full_description AS products_full_description, products.brand AS products_brand, products.shipping_cost AS products_shipping_cost, products.shipping_regions AS products_shipping_regions, products.returns_policy AS products_returns_policy, products.warranty_policy AS products_warranty_policy, products.specs AS products_specs, products.variants AS products_variants, products.source AS products_source, products.created_at AS products_created_at, products.updated_at AS products_updated_at, products.is_deleted AS products_is_deleted, products.deleted_at AS products_deleted_at \nFROM products \nWHERE products.vendor_id = :vendor_id_1 AND products.is_deleted = false) A...""}"
2026-04-29T15:00:03.161821,READ,Order,,,sqlalchemy_session_event,"{""statement"": ""SELECT orders.id AS orders_id, orders.vendor_id AS orders_vendor_id, orders.customer_name AS orders_customer_name, orders.customer_phone AS orders_customer_phone, orders.customer_address AS orders_customer_address, orders.items_json AS orders_items_json, orders.total_amount AS orders_total_amount, orders.status AS orders_status, orders.conversation_notes AS orders_conversation_notes, orders.chat_summary AS orders_chat_summary, orders.created_at AS orders_created_at, orders.confirmed_at AS orders_confirmed_at, orders.updated_at AS orders_updated_at \nFROM orders \nWHERE orders.vendor_id = :vendor_id_1""}"
2026-04-29T15:00:03.309085,READ,WhatsAppConnection,,,sqlalchemy_session_event,"{""statement"": ""SELECT whatsapp_connections.id AS whatsapp_connections_id, whatsapp_connections.vendor_id AS whatsapp_connections_vendor_id, whatsapp_connections.phone_number AS whatsapp_connections_phone_number, whatsapp_connections.phone_number_id AS whatsapp_connections_phone_number_id, whatsapp_connections.business_account_id AS whatsapp_connections_business_account_id, whatsapp_connections.access_token AS whatsapp_connections_access_token, whatsapp_connections.verify_token AS whatsapp_connections_verify_token, whatsapp_connections.is_connected AS whatsapp_connections_is_connected, whatsapp_connections.connected_at AS whatsapp_connections_connected_at \nFROM whatsapp_connections \nWHERE whatsapp_connections.vendor_id = :vendor_id_1\n LIMIT :param_1""}"
2026-04-29T15:00:05.784143,READ,Vendor,,,sqlalchemy_session_event,"{""statement"": ""SELECT vendors.id AS vendors_id, vendors.name AS vendors_name, vendors.slug AS vendors_slug, vendors.email AS vendors_email, vendors.password_hash AS vendors_password_hash, vendors.is_active AS vendors_is_active, vendors.rfc AS vendors_rfc, vendors.sector AS vendors_sector, vendors.phone AS vendors_phone, vendors.website AS vendors_website, vendors.address AS vendors_address, vendors.city AS vendors_city, vendors.state AS vendors_state, vendors.country AS vendors_country, vendors.postal_code AS vendors_postal_code, vendors.description AS vendors_description, vendors.payment_methods AS vendors_payment_methods, vendors.created_at AS vendors_created_at, vendors.updated_at AS vendors_updated_at \nFROM vendors \nWHERE vendors.id = :id_1\n LIMIT :param_1""}"
